price,lprice,square,rooms,floor,mfloor,station,metro,ametro,dmetro,link
19499999,16.785924972251923,55.3,2,9,13,метро Тропарёво,20 минут пешком,1,20,https://www.cian.ru/sale/flat/315209112/
29500000,17.19990082131005,85.0,3,18,26,метро Улица Скобелевская,15 минут пешком,1,15,https://www.cian.ru/sale/flat/315461485/
11800000,16.283610089435893,58.5,2,1,14,метро Аэропорт Внуково,5 минут на транспорте,0,5,https://www.cian.ru/sale/flat/313148633/
29550000,17.20159430181638,44.1,2,7,34,метро Воронцовская,7 минут пешком,1,7,https://www.cian.ru/sale/flat/316769987/
5350000,15.49260711887219,37.2,1,2,5,метро Домодедовская,28 минут на транспорте,0,28,https://domodedovo.cian.ru/sale/flat/316462967/
21900000,16.90199719478673,62.9,2,2,20,метро Владыкино,14 минут пешком,1,14,https://www.cian.ru/sale/flat/316322042/
117617500,18.582948391881573,122.2,4,14,20,метро Краснопресненская,13 минут пешком,1,13,https://www.cian.ru/sale/flat/307004325/
9300000,16.045524958123483,45.8,2,1,9,метро Измайловская,8 минут на транспорте,0,8,https://www.cian.ru/sale/flat/314180210/
10500000,16.166885815127753,50.0,2,1,8,метро Алексеевская,10 минут пешком,1,10,https://www.cian.ru/sale/flat/316640827/
24600000,17.01825700090259,58.0,2,20,20,метро Автозаводская,3 минуты на транспорте,0,3,https://www.cian.ru/sale/flat/316277969/
16000000,16.588099280204055,38.8,1,8,12,метро Сокольники,19 минут пешком,1,19,https://www.cian.ru/sale/flat/315046319/
22000000,16.90655301132259,73.5,3,3,16,метро Севастопольская,15 минут пешком,1,15,https://www.cian.ru/sale/flat/313539037/
10100000,16.12804598181149,32.1,1,3,27,метро Потапово,5 минут на транспорте,0,5,https://www.cian.ru/sale/flat/316333077/
18270007,16.720771311495877,40.6,1,2,5,метро Водный стадион,5 минут на транспорте,0,5,https://www.cian.ru/sale/flat/315587546/
13300000,16.40327459319198,45.3,2,1,12,метро Орехово,19 минут пешком,1,19,https://www.cian.ru/sale/flat/314532694/
8500000,15.955576721460544,19.7,1,10,22,метро Тропарёво,17 минут пешком,1,17,https://www.cian.ru/sale/flat/316177228/
22000000,16.90655301132259,43.7,1,9,24,метро Деловой центр,15 минут пешком,1,15,https://www.cian.ru/sale/flat/314939649/
23800000,16.985196138641705,42.0,2,5,26,метро Римская,19 минут пешком,1,19,https://www.cian.ru/sale/flat/315780783/
49389200,17.71524233477477,113.8,4,3,31,метро Окружная,4 минуты на транспорте,0,4,https://www.cian.ru/sale/flat/297432075/
21305061,16.87445520808971,41.4,1,14,30,метро Дубровка,17 минут пешком,1,17,https://www.cian.ru/sale/flat/313513658/
32990000,17.311715043204764,79.5,3,5,14,метро Серпуховская,8 минут пешком,1,8,https://www.cian.ru/sale/flat/306857253/
82800000,18.23193861935549,96.6,4,17,21,метро Таганская,20 минут пешком,1,20,https://www.cian.ru/sale/flat/316201226/
15900000,16.58182966719046,32.1,1,7,9,метро Проспект Мира,4 минуты пешком,1,4,https://www.cian.ru/sale/flat/316067222/
25500951,17.054226303550895,74.8,2,58,59,метро Сходненская,7 минут на транспорте,0,7,https://www.cian.ru/sale/flat/315516836/
9850000,16.10298201314827,43.0,1,3,16,метро Волоколамская,20 минут пешком,1,20,https://krasnogorsk.cian.ru/sale/flat/306154885/
19700000,16.796129193708218,53.9,2,10,19,метро Калужская,16 минут пешком,1,16,https://www.cian.ru/sale/flat/297381105/
37491579,17.439626905723266,85.5,3,12,32,метро Багратионовская,8 минут пешком,1,8,https://www.cian.ru/sale/flat/306980094/
